"","aminoacid","pvalue","Padj"
"1","Phe",0.628478300510341,1
"2","Val",0.638802889576883,1
"3","Leu",0.568108572295718,1
"4","Iso",0.826293997995375,1
"5","Lys",0.521376971841368,1
"6","Met",0.757626727806944,1
"7","Thr",0.521376971841368,1
"8","His",0.628781039431164,1
"9","Try",0.725025693956319,1
"10","Total.EAA",0.521376971841368,1
"11","Tyr",0.173818352233717,1
"12","Gln",0.482707627938267,1
"13","Arg",0.89827509951349,1
"14","Cys",1,1
"15","Gly",0.124654882353197,1
"16","Pro",0.831416777237211,1
"17","Glu",0.404522885952293,1
"18","Asn",0.538898272780616,1
"19","Asp",0.929833699334847,1
"20","Ala",0.322865988500663,1
"21","Ser",0.96609169983783,1
"22","Tau",0.860695735974618,1
"23","Orn",0.429298351380287,1
"24","Cit",0.724792753352069,1
"25","Ammonia",0.692697914930742,1
